coding	meaning
Y15cc	Safeguarding vulnerability - repeat A&E attendances
Y15ce	Safeguarding vulnerability - parent MH concerns
Y15d3	Safeguarding vulnerability - other
Y15d5	Newborn audiology test bilateral hearing loss
Y15f3	Pneumococcal polysaccharide vaccine (sanofi pasteur MSD Ltd)
Y15fa	Limited a lot by behavioural and emotional disability
Y1600	Not Suitable for Renal Transplant
Y1601	On Waiting List for Renal Transplant
Y1603	Diabetes Care in nursing home
Y1604	Housebound diabetes care
Y1605	Parent present
Y1606	Foster parent present
Y1607	Relative present
Y1608	Other person present
Y1609	No other person present
Y1610	Reason for non-examination
Y1611	Examination not required
Y1612	Did not attend examination - reason given
Y1613	Did not attend examination - no reason given
Y1615	Refused examination
Y1616	Refused all medical examinations
Y1617	Refused all examinations/screenings
Y1618	No consent for examination received
Y1620	Doctor examiner
Y1629	Statement - no health needs
Y1630	Statement - with health needs
Y1631	Statement - with social needs
Y1632	Referred to education authority for consideration of statement
Y1635	Localisation-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localised onset
Y1636	Urine glucose test positive
Y1637	Patient aware of referral
Y1638	Likes
Y1639	Dislikes
Y1640	Bristol stool chart type
Y1642	Other Mental Disability
Y1658	Needs special diet
Y167b	Preferred place of death: NOS
Y167e	Exam - cardiac abnormalities - problem suspected
Y1684	Requires continuing dental treatment
Y1685	Requires occupational therapy
Y1688	Requires physiotherapy
Y1691	Requires supervision of medication by a nurse
Y1694	Referral to aids assessment centre
Y1695	Referral to artificial limb and appliance centre
Y1696	Referral to audiology centre/clinic
Y1697	Referral to audiometrician - for further hearing tests
Y1698	Referral to child guidance clinic
Y1699	Referral to child psychiatrist
Y16b0	Access to Online Services Declined by Patient
Y16b7	Patient ethnicity could not be communicated
Y16b8	Patient language unknown
Y16bf	IPOS - level of shortness of breath
Y16c5	IPOS - level of sore/dry mouth
Y16d2	IPOS - oral thrush level
Y16ea	Anti-tissue transglutaminase level (chemiluminescent immunoassay)
Y16fa	IPOS - level of secretions symptom
Y1700	Referral to chiropodist
Y1702	Referral to community mental handicap team
Y1703	Referral to consultant ENT surgeon
Y1704	Referral to consultant opthalmologist
Y1705	Referral to consultant orthopaedic surgeon
Y1707	Referral to consultant surgeon (general or paediatric)
Y1708	Referral to consultant (other)
Y1709	Referral to dentist
Y1710	Referral to district handicap team (multiple - professional assessment team)
Y1711	Referral to educational psychologist
Y1712	Duration of sickness certificate (Days)
Y1713	O/E - visual acuity L eye =6/>60
Y1715	Referral to optician
Y1722	Referral to speech therapist
Y1723	Referral to other
Y1724	Vision Screening Test
Y1727	Refused all examinations/ screenings
Y1730	Sample not sent to laboratory
Y1731	Pneumococcal Vaccination Invite letter 1
Y1732	Pneumococcal Vaccination Invite letter 2
Y1733	Pneumococcal Vaccination Invite letter 3
Y1734	Not sent for histology
Y1735	Referral to secondary multidisciplinary team
Y1738	Evidence of pain and / or discomfort
Y1739	Evidence of rigidity / stiffness
Y1742	Evidence of upper limb weakness
Y1743	Evidence of lower limb weakness
Y1744	Evidence of one sided weakness
Y1746	Evidence of problems with circulation
Y1747	Evidence of problems with breathing
Y1748	Evidence of problems with balance
Y1749	Evidence of shortness of breath / heart problems
Y1752	Mother: number of live births
Y1756	Registered with dentist
Y1757	Safety equipment used
Y1758	Smoker in household
Y175f	Weight advice - verbal & written (MOSAIC trial)
Y1764	Seen by audiology
Y1765	Seen by ophthalmics
Y1766	Seen by CAMHS (Child & adolescent mental health service)
Y1776	Right Brachial Pressure
Y1777	Left Brachial Pressure
Y1778	DNA Podiatry Clinic
Y1779	DNA Dietician
Y177f	Plasma ristocetin cofactor level (UoM U/dL)
Y1780	DNA Optician
Y1782	Gold Standards Framework
Y1783	Accidental Ingestion
Y1784	Periodic paralysis
Y1788	Localisation-related (focal) (partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures
Y1789	Other and unspecified drugs, medicaments and biological substances
Y1792	Parent not present
Y1795	School eye clinic
Y1797	Optician involved
Y1799	Referred to orthopaedic surgeon
Y17a8	NDTMS - 28 day history of tobacco use
Y17ae	Not on Learning Disability Register
Y17b2	Unknown cause of hearing loss
Y17b3	Receiving disabled persons council tax
Y17b5	Shared Care Ended
Y17b6	FLUMIST Quadrivalent Influenza Vaccine Live, Intranasal 2
Y17b8	Protein C function estimate (UoM %)
Y17b9	Serum free beta human chorionic gonadotrophin level (UoM IU/L)
Y17ba	Plasma factor XI level (UOM=iu/dL)
Y17bb	Plasma antithrombin III activity (UOM=%)
Y17bd	Factor VIII level (UOM=%)
Y17be	NHS diabetes prevention programme
Y17bf	NHS diabetes prevention programme invitation first letter
Y17c0	NHS diabetes prevention programme invitation second letter
Y17c1	NHS diabetes prevention programme invitation third letter
Y17c2	NHS diabetes prevention programme telephone invitation
Y17c3	NHS diabetes prevention programme verbal invitation
Y17c4	NHS diabetes prevention programme short message service invitation
Y17c5	Referral to NHS diabetes prevention programme
Y17c6	Did not attend NHS diabetes prevention programme
Y17c7	Did not complete NHS diabetes prevention programme
Y17c8	Attended NHS diabetes prevention programme
Y17c9	Serum alpha-fetoprotein level (UOM=ug/L)
Y17ca	Plasma free protein S level (UOM=%)
Y17cc	Plasma renin level (UOM=nmol/L/h)
Y17d4	Plasma D-dimer (D-E-D) expressed in FEU (UoM mg/L)
Y17dc	QRISK2 10 Year Risk Score Review
Y17dd	QRISK2 10 Year Risk Score Review - No change in treatment
Y17de	QRISK2 10 Year Risk Score Review - Statins prescribed
Y17df	QRISK2 10 Year Risk Score Review - Statins stopped
Y17e0	QRISK2 10 Year Risk Score Review - Antihypertensive drugs prescribed
Y17e1	QRISK2 10 Year Risk Score Review Complete
Y17e3	Urine free cortisol level (UoM nmol/L)
Y17e6	Plasma antithrombin 111 antigen level (UOM=%)
Y17f2	Patient has communication/information need
Y17f3	Patient does not have communication/information need
Y1800	Paper record held here
Y1803	Hold letters (no patient record)
Y1807	Vision colour result - Pass
Y181c	5FP - Initial Assessment
Y181f	5FP - Other reason
Y1822	O/E - visual acuity both eyes = 6/6
Y1823	O/E - visual acuity both eyes = 6/9
Y1824	O/E - visual acuity both eyes = 6/12
Y1826	O/E - visual acuity both eyes = 6/18
Y1827	O/E - visual acuity both eyes = 6/24
Y1829	O/E - visual acuity L-eye = 6/0
Y1830	O/E - visual acuity L-eye = 6/3
Y1831	O/E - visual acuity L-eye = 6/30
Y1833	O/E - visual acuity R-eye = 6/3
Y1834	O/E - visual acuity R-eye = 6/4
Y1837	O/E - visual acuity R-eye = 6/30
Y1839	Referred to audiologist clinic
Y183d	Electronic frailty index
Y1841	O/E - visual acuity both eyes
Y1847	O/E - visual acuity both eyes = 6/36
Y184b	QDiabetes 10 year diabetes risk
Y1858	Stereopsis - Pass
Y1861	Cover Test - Pass
Y1870	PKU 2 - Sample Taken
Y1872	Referral by optician
Y1887	Cover Test - Did not attend (reason given)
Y18ae	NDTMS - Currently employed
Y18bb	Hep C test result PCR (RNA) status - Negative
Y18bf	NDTMS - Engaged with IAPT
Y18c3	NDTMS - Client has take home naloxone and training information
Y18d5	Screening for atrial fibrillation
Y18d9	Ideal body weight - Devine formula
Y18db	Ideal body weight - Lemmens formula
Y18ea	OE Cephalic Presentation
Y1905	Evidence of pressure areas / wounds
Y1910	Referral from agency
Y1913	Referral from audiology centre/clinic
Y1914	Referral from audiometrician - for further hearing tests
Y1917	Referral from chiropodist
Y1920	Referral from consultant ENT surgeon
Y1921	Referral from consultant opthalmologist
Y1922	Referral from consultant orthopaedic surgeon
Y1924	Referral from consultant surgeon (general or paediatric)
Y1925	Referral from consultant (other)
Y1926	Referral from dentist
Y1927	Referral from district handicap team (multiple - professional assessment team)
Y1929	Referral from general practitioner
Y192d	F/H Inherited Disorders
Y1932	Referral from optician
Y1933	Referral from orthoptist
Y1934	Referral from physiotherapist
Y1935	Referral from school eye clinic
Y1938	Referral from social services
Y193c	F/H Congenital heart disease
Y193d	F/H 1st degree relative heart abnormalities
Y1940	Referral from other
Y1942	Evidence of poor / no hearing
Y1943	Evidence of mental health problems
Y1944	Evidence of lack of understanding
Y1947	Evidence of other factors affecting risk
Y1948	Type of task
Y1955	Task involves strenuous pushing / pulling
Y1963	Task involves wearing protective clothing
Y196e	Symphysis pubis dysfunction
Y1974	Task requires other capabilities
Y1986	Equipment required
Y1987	Equipment ordered
Y19a1	Self-monitoring of Standing Blood Pressure
Y19bc	Hearing screening - Offered and declined
Y19c1	Spontaneous Vertex
Y19c2	Spontaneous Other Cephalic
Y19c5	Refer to child health services - admin
Y19c6	Maternal blood loss
Y19cd	O/E Ears - no abnormality detected
Y19ce	O/E Ears - abnormality detected
Y19d7	Stop Smoking Medication Offered
Y19de	Oxygen saturation (self-monitoring)
Y19df	Standing systolic blood pressure (self-monitoring)
Y19e0	Standing diastolic blood pressure (self-monitoring)
Y19e1	Sitting systolic blood pressure (self-monitoring)
Y19e2	Sitting diastolic blood pressure (self-monitoring)
Y19e3	Whole blood thiopurine methyltransferase (UOM=pmol/h/mgHb)
Y19ea	Infanrix Hexa
Y19ed	Infanrix Hexa 3
Y19ee	Inactivated Influenza Vaccine (Split Virion) (Pfizer)
Y19f0	Pneumococcal Polysaccharide Vaccine (MSD)
Y19f2	Transfer-degraded uncertain vaccination entry
Y19f3	Quadrivalent influenza vaccine Split Virion inactivated (Sanofi Pasteur)
Y19f4	Electronic Prescription Service exception retraction
Y19f5	Weight (self monitoring)
Y19f6	Pulse (self monitoring)
Y19f7	Temperature (self monitoring)
Y19f9	Serum glomerular basement membrane antibody level (UoM=AI)
Y19fd	Referred to National Health Service diabetes programme - digital intervention
Y19fe	Declined referral to National Health Service diabetes programme - digital intervention
Y19ff	Completed National Health Service diabetes programme - digital intervention
Y1a00	Not completed National Health Service diabetes programme - digital intervention
Y1a04	Number of physiotherapy appointments attended
Y1a07	No Signs of Wound Infection
Y1a09	Systemic Infection Suspected
Y1a11	EQ-5D-Y (EuroQol Five Dimension (Youth)) having pain or discomfort score
Y1a12	EQ-5D-Y (EuroQol Five Dimension (Youth)) doing usual activities score
Y1a14	EQ-5D-Y (EuroQol Five Dimension (Youth)) mobility score
Y1a18	Adult specialist palliative care currency model
Y1a5e	Provision of written information about diabetes and mood
Y1a60	Provision of written information about keeping your kidneys healthy
Y1a61	Provision of written information about kidney disease
Y1a63	Blatchford pre-endoscopy upper GI haemorrhage risk score
Y1a65	Extracorporeal shock wave therapy (procedure)
Y1a66	Thromboembolic disorder
Y1a67	Haematological disorder
Y1a68	Partner present at encounter
Y1a6a	How many people live in household?
Y1a6d	Patient reports taking antipsychotic medication
Y1a6e	Patient reports an admission to HDU in last 12 months
Y1a79	Patient reports recent infections
Y1a7a	Patient reports migraines /severe headaches
Y1a7f	Patient reports muscoskeletal disorder
Y1a8b	Downs Syndrome Risk to Fetus - Low
Y1aa4	H/O genital herpes
Y1ab3	H/O Cancer
Y1ab5	Family history of genetic disorder
Y1af0	Patient reports history of genital infection
Y1af7	Consent given - potential blood transfusion for baby or prior consent to baby receiving blood if required
Y1b0a	IPS Alcohol dependency
Y1b1c	tofacitinib (form not specified)
Y1b1e	JAK2 inhibitor (form not specified)
Y1b24	Acute severe exacerbation of allergic asthma
Y1b25	Advice on risk harm to fetus from maternl Sodium Valproate dur preg
Y1b31	Seen by Volunteer
Y1b34	Physical Activity Clinical Advice Pad - PACAP
Y1b39	Skin prick test for penicillin negative
Y1b3c	Oral penicillin challenge test positive
Y1b3d	Oral penicillin challenge test negative
Y1b44	Responsible professional
Y1b46	Urine albumin/creatinine ratio cannot be calculated by laboratory
Y1b4b	The UK Sepsis Trust Community Sepsis Screening Assessment Completed - Red flag sepsis
Y1b55	Number of steps per day
Y1b97	Generalised anxiety disorder 7 item score
Y1bb6	Outcome Rating Scale total score
Y1bc7	SCORE Index of Family Function and Change 15 average total score
Y1bd6	Male-to-female transsexual
Y1c24	Pulse Rate Standing
Y1c25	Pulse Rate Sitting
Y1c26	Pulse Rate Lying
Y1c2b	Mental health clustering tool (MHCT) score
Y1c36	CHC Fast Track received
Y1c49	GDPR compliant consent for non-direct-care care-related communications from organisation gaining consent
Y1c4b	End of life care assessment
Y1c4c	Weight management programme
Y1c4f	Combined healthy eating and physical education programme
Y1c50	Urinary catheter passport given
Y1c52	Diabetes and and your feet (low) information prescription (Diabetes UK) issued
Y1c59	Patient Activation Measure Score
Y1c65	Would recommend services to family and friends
Y1c6a	Aquacel Ag + Ribbon 1cm x 45cm
Y1c6d	Cosmopore E 8cm x 10cm
Y1c71	Foam Lite ConvaTec 8cm x 8cm
Y1c72	Foam Lite ConvaTec 10cm x 10cm
Y1c7e	Provision of written information about Diabetes and your feet (moderate or high risk of complications)
Y1c7f	Provision of written information about Diabetes and your feet (low risk of complications)
Y1c8e	Assessment of philosophical, cultural, and spiritual beliefs and values
Y1c8f	DICES risk assessments
Y1c99	HV Emotional well being outcome rating
Y1c9f	Patient has a written Bronchiectasis personal action plan
Y1ca2	Number of Pulmonary Rehabilitation Classes attended
Y1ca5	Able to swallow thin drinks - IDDSI (International Dysphagia Diet Standardisation Initiative) level 0
Y1cac	Able to swallow soft and bite-sized food - IDDSI (International Dysphagia Diet Standardisation Initiative) level 6
Y1cad	Able to swallow regular food - IDDSI (International Dysphagia Diet Standardisation Initiative) level 7
Y1cb1	DIALOG item 2 score - how satisfied are you with your physical health
Y1cb4	DIALOG item 5 score - how satisfied are you with your leisure activities
Y1cbb	Clozapine therapy
Y1cbd	Assessment of lifestyle
Y1cbf	Haemoglobin A1c measurement
Y1cc0	Fasting blood glucose measurement
Y1cc2	Total cholesterol:HDL ratio measurement
Y1cc3	Assessment using QRISK cardiovascular disease 10 year risk calculator
Y1cc6	Patient referral for vocational rehabilitation
Y1cd7	CHC Local Appeal requested
Y1cee	Employed by care home
Y1cef	Employed by nursing home
Y1cf0	Employed by domiciliary care provider
Y1cf7	Mastaflu vaccine suspension for injection 0.5ml pre-filled syringes (Masta Ltd) 1 pre-filled disposable injection
Y1cf9	Influvac Sub-unit vaccine suspension for injection 0.5ml pre-filled syringes (Mylan)
Y1cfb	Influenza Tetra MYL vaccine suspension for injection 0.5ml pre-filled syringes (Mylan) 1 pre-filled disposable injection
Y1cfc	Influvac sub-unit Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Mylan) 1 pre-filled disposable injection
Y1cfd	Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus Vaccines Ltd)
Y1cfe	GP Assist
Y1d03	Ambulatory insulin pump: Omnipod
Y1d04	Ambulatory insulin pump: Medtronic 640G
Y1d07	Signposted to IAPT
Y1d1b	CHC Fast Track patient died before funding started
Y1d34	Red cell vitamin B2 level (UOM=nmol/L)
Y1d35	NEWS2 SpO2 Scale 1
Y1d3a	Oxygen therapy via non-invasive ventilation
Y1d3b	Oxygen therapy via continuous positive airways pressure
Y1d3f	NEWS2 National Early Warning Score
Y1d40	Suicidality / Risk of Self Harm - None
Y1d41	Suicidality / Risk of Self Harm - Low
Y1d43	Suicidality / Risk of Self Harm - High
Y1d44	Suicidality/ Risk of Self Harm - Notes
Y1d4a	Safeguarding Concern - No
Y1d4b	Safeguarding Concern -Yes
Y1d4c	Mental Health History - None
Y1d4d	Mental Health History - Low
Y1d50	Mental Health History - Notes
Y1d55	Assessment of Co-morbidity severity - Notes
Y1d58	Relationship Issues - Moderate
Y1d5b	Social Isolation - None
Y1d5d	Social Isolation - Moderate
Y1d5e	Social Isolation - High
Y1d5f	Social Isolation - Notes
Y1d6d	Housing Problems - Severe
Y1d74	Heart Failure Rehabilitation Programme Completed
Y1d75	Low carbohydrate diet education
Y1d77	1 lead ECG
Y1d79	Discussion about end of life care planning
Y1d7a	Pain self efficacy questionnaire score
Y1d7e	CHC Fast Track Funding start date
Y1d83	Patient initiated on anticoagulant therapy more > 1 week after AF diagnosis
Y1d86	Dietary information declined
Y1d87	Seen by community alcohol team
Y1d98	CHC No Longer Eligible For Fast Track Funding
Y1d9a	Patient Activation Measure assessment not appropriate
Y1d9b	Heterosexual or Straight
Y1da8	Severe pain on movement
Y1dac	Level of sedation
Y1daf	Level of sedation: Responds to verbal command
Y1db0	Level of sedation: Awake and responsive
Y1dc3	Limb movement evaluation: mild weakness in left arm
Y1dce	Limb movement evaluation: mild weakness in right leg
